City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
57,Bengkulu,ID,2020-04-29 19:52:42,-3.8,102.27,77.13,82,100,4.7,Clouds,0,0
58,Caluquembe,AO,2020-04-29 19:52:42,-13.78,14.68,59.59,40,0,2.04,Clear,0,0
59,Mataura,NZ,2020-04-29 19:52:43,-46.19,168.86,44.55,70,100,4.0,Clouds,0,0
60,Broken Hill,AU,2020-04-29 19:52:43,-31.95,141.43,46.4,87,40,10.29,Clouds,0,0
61,Narsaq,GL,2020-04-29 19:52:43,60.92,-46.05,50.0,23,5,5.82,Clear,0,0
62,Bubaque,GW,2020-04-29 19:52:43,11.28,-15.83,79.23,77,0,15.66,Clear,0,0
63,East London,ZA,2020-04-29 19:52:43,-33.02,27.91,63.09,68,7,7.78,Clear,0,0
64,Gafanha Da Encarnacao,PT,2020-04-29 19:52:43,40.62,-8.73,64.0,84,100,10.4,Rain,0,0
65,Fortuna,US,2020-04-29 19:52:44,40.6,-124.16,66.99,77,75,10.29,Clouds,0,0
66,Georgetown,MY,2020-04-29 19:51:11,5.41,100.34,82.0,100,40,1.12,Rain,0,0
67,Rio Gallegos,AR,2020-04-29 19:52:44,-51.62,-69.22,51.8,66,75,14.99,Clouds,0,0
68,Deputatskiy,RU,2020-04-29 19:52:44,69.3,139.9,12.47,92,100,3.69,Snow,0,0
69,Brae,GB,2020-04-29 19:52:44,60.4,-1.35,42.8,87,63,10.29,Rain,0,0
70,Ewa Beach,US,2020-04-29 19:49:49,21.32,-158.01,75.2,73,75,11.41,Rain,0,0
71,Kodiak,US,2020-04-29 19:52:44,57.79,-152.41,46.4,65,1,6.93,Clear,0,0
72,Rawah,IQ,2020-04-29 19:52:44,34.48,41.91,75.92,27,0,10.4,Clear,0,0
73,Minna,NG,2020-04-29 19:52:45,9.61,6.56,81.03,58,100,4.65,Clouds,0,0
74,Quime,BO,2020-04-29 19:52:45,-16.98,-67.22,59.92,27,62,4.47,Rain,0,0
75,Malartic,CA,2020-04-29 19:52:45,48.13,-78.13,51.8,32,90,13.87,Clouds,0,0
76,Bordighera,IT,2020-04-29 19:52:45,43.78,7.66,62.6,82,99,11.41,Clouds,0,0
77,Tuburan,PH,2020-04-29 19:52:45,6.64,122.27,81.88,74,100,3.78,Rain,0,0
78,Vaini,TO,2020-04-29 19:52:45,-21.2,-175.2,75.2,73,75,11.41,Clouds,0,0
79,Ostrovnoy,RU,2020-04-29 19:52:45,68.05,39.51,26.85,96,100,11.74,Clouds,0,0
80,Ponta Do Sol,PT,2020-04-29 19:52:45,32.67,-17.1,66.2,72,75,4.7,Clouds,0,0
81,Longyearbyen,SJ,2020-04-29 19:52:46,78.22,15.64,35.6,80,75,24.16,Rain,0,0
82,Iqaluit,CA,2020-04-29 19:52:46,63.75,-68.51,28.4,92,90,17.22,Clouds,0,0
83,Choma,ZM,2020-04-29 19:52:46,-16.81,26.95,66.61,39,88,3.2,Clouds,0,0
84,Kahului,US,2020-04-29 19:52:46,20.89,-156.47,80.6,54,20,19.46,Clouds,0,0
85,Airai,TL,2020-04-29 19:52:46,-8.93,125.41,56.12,66,93,2.46,Clouds,0,0
86,Saldanha,ZA,2020-04-29 19:52:46,-33.01,17.94,59.0,54,1,4.7,Clear,0,0
87,Bronnoysund,NO,2020-04-29 19:52:47,65.46,12.2,42.8,56,14,12.75,Clouds,0,0
88,La Ronge,CA,2020-04-29 19:52:47,55.1,-105.28,62.6,41,75,14.99,Clouds,0,0
89,Yenagoa,NG,2020-04-29 19:52:47,4.92,6.26,78.84,91,24,4.07,Rain,0,0
90,Comodoro Rivadavia,AR,2020-04-29 19:52:47,-45.87,-67.5,57.2,76,75,14.99,Clouds,0,0
91,Campoverde,PE,2020-04-29 19:52:47,-8.48,-74.81,75.2,94,90,3.36,Rain,0,0
92,Kandry,RU,2020-04-29 19:52:48,54.57,54.12,47.26,63,100,17.05,Clouds,0,0
