City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
103,Kavaratti,IN,85.44,Clouds,10.57,72.64,Bismillah Hotel And Lodging
104,Russell,US,71.6,Clouds,32.35,-85.2,Macs
105,Emerald,AU,71.6,Clouds,-23.53,148.17,The Irish Village
106,Rafai,CF,75.29,Rain,4.95,23.92,
107,Hasaki,JP,50.0,Clouds,35.73,140.83,Inubosaki Kanko Hotel
108,Phalombe,MW,65.25,Clear,-15.81,35.65,RIVONIA
109,Coolidge,US,99.0,Clear,32.98,-111.52,Grande Vista Motel
110,Lagoa,PT,62.55,Clouds,39.05,-27.98,Casa Das Faias
111,Bairiki,KI,82.4,Clouds,1.33,172.98,Tarawa Boutique Hotel
112,Thompson,CA,51.8,Clouds,55.74,-97.86,Burntwood Hotel
113,Catamarca,AR,75.0,Clear,-28.47,-65.79,Amerian Catamarca Park Hotel
114,Rocha,UY,62.71,Clear,-34.48,-54.33,Beleza Pura B&B
116,Natal,BR,78.8,Rain,-5.79,-35.21,Villa Park Hotel | Natal
118,Victoria,HK,73.0,Clouds,22.29,114.16,Mini Hotel Central
119,Avarua,CK,75.2,Rain,-21.21,-159.78,Paradise Inn
120,Umm Kaddadah,SD,88.99,Clear,13.6,26.69,
121,Morant Bay,JM,86.0,Clouds,17.88,-76.41,Whispering Bamboo Cove Resort
122,Zharkent,KZ,65.97,Clouds,44.16,80.0,гостиница Satti
123,Broome,US,59.0,Clouds,42.25,-75.83,Chenango Valley State Park
124,Lorengau,PG,80.82,Rain,-2.02,147.27,Lorengau Harbourside Hotel
125,Parral,MX,85.01,Clear,26.93,-105.67,HOTEL LOS ARCOS PARRAL
126,Iquique,CL,68.0,Clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
127,Saint-Philippe,RE,73.4,Clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
128,Denpasar,ID,82.4,Clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
129,Hermanus,ZA,63.36,Clouds,-34.42,19.23,Misty Waves Boutique Hotel
130,Diego De Almagro,CL,80.06,Clouds,-26.37,-70.05,hotel luna del desierto
132,Sao Felix Do Xingu,BR,82.76,Clear,-6.64,-51.99,Apart Hotel Rio Xingu
133,Grand Gaube,MU,75.99,Clear,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
134,New Norfolk,AU,53.01,Rain,-42.78,147.06,The Shingles Riverside Cottages
135,Kentau,KZ,60.64,Clouds,43.52,68.51,Homestay Betty's B&B
136,Concepcion Del Oro,MX,78.84,Clear,24.63,-101.42,HOTEL HACIENDA SAN JAVIER
137,Namatanai,PG,80.56,Rain,-3.67,152.43,Namatanai Hotel
138,Mikhaylovka,RU,55.0,Clouds,50.06,43.24,5 Komnat
140,Bilma,NE,90.55,Clear,18.69,12.92,Expeditions Ténére voyages
143,Key West,US,87.8,Clouds,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
144,Kandrian,PG,78.3,Rain,-6.22,149.55,
145,Perry,US,71.6,Clouds,37.25,-83.2,Hampton Inn & Suites Hazard
146,Riyadh,SA,89.6,Clouds,24.69,46.72,InterContinental Riyadh
147,Burns Lake,CA,52.65,Clouds,54.23,-125.75,Burns Lake Bed and Breakfast
148,Adeje,ES,69.01,Clouds,28.12,-16.73,Gran Tacande Wellness & Relax Costa Adeje
150,Hirado,JP,57.52,Clear,33.36,129.55,Samson Hotel
152,Rio Grande,BR,78.8,Clear,-32.03,-52.1,Swan Express Rio Grande
153,Luderitz,,62.6,Clear,-26.65,15.16,LÜDERITZ NEST HOTEL
154,Abu Zabad,SD,87.08,Clear,12.35,29.25,محي الدين نوري
155,Palasa,IN,80.44,Rain,18.77,84.42,Malla Krishana apartment
156,Khanpur,PK,88.68,Clouds,28.65,70.66,Khan Hotel
157,America Dourada,BR,74.46,Clouds,-11.46,-41.44,Pousada do Ninho
158,Ballina,AU,64.0,Clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
160,Jati,PK,78.35,Clear,24.35,68.27,Muhammad Khuzaima Traders
161,Carnarvon,AU,64.4,Clouds,-24.87,113.63,Hospitality Carnarvon
162,Meoqui,MX,86.0,Clear,28.28,-105.48,Hotel Paraíso Dorado
163,Gao,ML,95.63,Clear,16.64,1.64,
164,Valparaiso,CL,71.6,Clear,-33.04,-71.63,Hotel Ultramar
166,Metro,ID,74.64,Rain,-5.11,105.31,Hotel Familie2
167,Bethel,US,53.6,Clouds,41.37,-73.41,Courtyard by Marriott Danbury
168,Poum,NC,76.57,Clear,-20.23,164.02,Gîte kajeon
169,Avera,US,80.6,Clouds,33.19,-82.53,
170,Cururupu,BR,81.72,Clouds,-1.83,-44.87,Pousada Través'cia
171,Gboko,NG,87.85,Clouds,7.32,9.0,Bays Garden Hotel
173,Port Keats,AU,80.37,Clear,-14.25,129.55,TDC Village (Hundred Man Camp)
176,Bend,US,71.01,Clouds,44.06,-121.32,Fairfield Inn & Suites by Marriott Bend Downtown
177,Molina,CL,66.7,Clear,-35.12,-71.28,Hostal Pucará
178,Dunkwa,GH,79.2,Clouds,5.97,-1.78,Tim Freeman Gold City Hotel
179,Auki,SB,79.92,Rain,-8.77,160.7,Auki Motel
181,Yueyang,CN,71.67,Clouds,29.33,113.09,Delong Fortune Hotel
182,Nurota,UZ,57.2,Clear,40.56,65.69,Guest House Ruslan Nurata & Tours
183,Lata,PT,61.0,Clouds,40.16,-8.33,Casa Maquia
185,Harper,LR,81.21,Clouds,4.38,-7.72,Cape View Guest House
