City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Narsaq,GL,2020-04-20 21:11:44,60.92,-46.05,37.4,37,25,2.24
70,Hobart,AU,2020-04-20 21:07:44,-42.88,147.33,50.0,71,75,8.05
71,Chokurdakh,RU,2020-04-20 21:11:46,70.63,147.92,19.6,98,100,6.44
72,Biak,ID,2020-04-20 21:11:16,-0.91,122.88,80.69,73,90,3.24
73,Umm Kaddadah,SD,2020-04-20 21:13:44,13.6,26.69,78.46,14,31,5.88
74,Mar Del Plata,AR,2020-04-20 21:10:35,-38.0,-57.56,69.8,56,100,8.05
75,Kavaratti,IN,2020-04-20 21:11:47,10.57,72.64,85.32,69,99,5.12
76,Morant Bay,JM,2020-04-20 21:11:30,17.88,-76.41,87.01,70,20,16.11
77,Surt,LY,2020-04-20 21:13:06,31.21,16.59,69.69,53,0,3.31
78,Saint George,US,2020-04-20 21:07:12,37.1,-113.58,73.0,28,1,5.79
79,New Norfolk,AU,2020-04-20 21:10:41,-42.78,147.06,48.99,85,23,4.32
80,Hermanus,ZA,2020-04-20 21:11:04,-34.42,19.23,57.0,99,100,8.52
81,Vila Velha,BR,2020-04-20 21:09:54,-20.33,-40.29,77.0,69,75,11.41
82,Bathsheba,BB,2020-04-20 21:13:45,13.22,-59.52,77.0,78,75,18.34
83,Krasnotorka,UA,2020-04-20 21:13:46,48.68,37.53,40.75,66,0,8.48
84,Ilhabela,BR,2020-04-20 21:10:30,-23.78,-45.36,72.79,71,10,5.44
85,Tuktoyaktuk,CA,2020-04-20 21:10:28,69.45,-133.04,6.8,77,90,12.75
86,Saskylakh,RU,2020-04-20 21:10:55,71.92,114.08,24.67,98,70,11.45
87,Lompoc,US,2020-04-20 21:11:37,34.64,-120.46,64.4,63,20,12.75
88,Sioux Lookout,CA,2020-04-20 21:11:46,50.1,-91.92,26.6,73,75,16.11
89,Oranjemund,NA,2020-04-20 21:11:24,-28.55,16.43,60.06,86,15,6.78
90,Bluff,NZ,2020-04-20 21:11:32,-46.6,168.33,43.0,96,78,1.99
91,Port Said,EG,2020-04-20 21:09:22,31.26,32.28,66.2,77,60,13.87
92,Santiago Del Estero,AR,2020-04-20 21:12:00,-27.8,-64.26,85.53,34,0,6.13
93,Boueni,YT,2020-04-20 21:13:47,-12.9,45.08,82.4,78,75,3.36
94,Saldanha,ZA,2020-04-20 21:10:45,-33.01,17.94,62.6,77,100,3.36
95,Buala,SB,2020-04-20 21:13:47,-8.14,159.59,82.72,76,82,5.19
96,Luderitz,NA,2020-04-20 21:11:22,-26.65,15.16,64.4,72,0,10.29
97,Antofagasta,CL,2020-04-20 21:13:48,-23.65,-70.4,66.2,68,0,11.41
98,La Palma,US,2020-04-20 21:13:48,33.85,-118.05,70.0,52,90,4.7
99,Beringovskiy,RU,2020-04-20 21:12:16,63.05,179.32,12.72,94,85,13.98
100,Bethel,US,2020-04-20 21:11:42,41.37,-73.41,55.99,34,1,6.93
101,Pangnirtung,CA,2020-04-20 21:11:00,66.15,-65.71,12.2,92,90,4.36
102,Iqaluit,CA,2020-04-20 21:10:54,63.75,-68.51,3.2,65,40,19.46
103,Port Arthur,CN,2020-04-20 21:12:24,38.8,121.27,42.8,30,0,15.66
104,Baft,IR,2020-04-20 21:13:49,29.23,56.61,55.85,34,98,2.77
105,Ambilobe,MG,2020-04-20 21:12:00,-13.2,49.05,73.76,79,72,6.73
106,Mabaruma,GY,2020-04-20 21:13:49,8.2,-59.78,80.87,77,88,7.38
107,Norman Wells,CA,2020-04-20 21:11:29,65.28,-126.83,32.0,96,90,6.93
108,Vestmanna,FO,2020-04-20 21:13:50,62.16,-7.17,41.0,93,0,3.36
109,Tasiilaq,GL,2020-04-20 21:11:19,65.61,-37.64,33.8,87,100,6.93
110,Hamilton,US,2020-04-20 21:12:44,39.18,-84.53,66.0,27,1,11.41
111,Ilulissat,GL,2020-04-20 21:11:52,69.22,-51.1,30.2,68,42,3.36
112,Catuday,PH,2020-04-20 21:13:50,16.29,119.81,80.15,81,89,5.91
113,Presidencia Roque Saenz Pena,AR,2020-04-20 21:11:39,-26.79,-60.44,82.36,41,0,3.85
114,Faya,SA,2020-04-20 21:08:13,18.39,42.45,60.8,62,62,6.93
115,Abnub,EG,2020-04-20 21:13:51,27.27,31.15,71.6,40,64,10.29
116,Carnarvon,AU,2020-04-20 21:11:44,-24.87,113.63,68.0,60,40,13.87
117,Saint-Philippe,RE,2020-04-20 21:10:54,-21.36,55.77,73.4,73,66,6.93
118,East London,ZA,2020-04-20 21:11:51,-33.02,27.91,72.68,71,90,13.69
119,Tommot,RU,2020-04-20 21:11:42,58.96,126.29,11.89,91,32,2.26
120,Sainte-Maxime,FR,2020-04-20 21:13:51,43.3,6.63,59.0,93,75,8.05
121,Kruisfontein,ZA,2020-04-20 21:11:44,-34.0,24.73,62.53,74,98,15.01
122,Castro,BR,2020-04-20 21:10:17,-24.79,-50.01,61.68,54,2,2.13
123,Koslan,RU,2020-04-20 21:13:52,63.46,48.9,30.65,95,2,2.48
124,Vanavara,RU,2020-04-20 21:11:53,60.34,102.28,24.75,92,0,2.3
125,San Cristobal,VE,2020-04-20 21:11:38,7.77,-72.22,93.2,46,20,11.41
126,Paamiut,GL,2020-04-20 21:10:57,61.99,-49.67,28.85,89,37,6.15
127,Barrow,US,2020-04-20 21:10:02,71.29,-156.79,1.4,91,90,9.17
128,Dikson,RU,2020-04-20 21:11:29,73.51,80.55,31.08,97,100,22.64
129,Si Satchanalai,TH,2020-04-20 21:13:53,17.52,99.76,84.99,54,21,0.89
130,Lazaro Cardenas,MX,2020-04-20 21:11:52,17.96,-102.2,83.03,62,0,9.6
131,Saint-Pierre,RE,2020-04-20 21:12:54,-21.34,55.48,73.4,69,76,10.29
132,Tuatapere,NZ,2020-04-20 21:12:09,-46.13,167.68,43.0,96,98,1.99
133,Airdrie,GB,2020-04-20 21:13:53,55.87,-3.98,46.4,70,0,16.11
134,Bermeo,ES,2020-04-20 21:13:54,43.42,-2.72,57.99,93,40,1.57
135,Khatanga,RU,2020-04-20 21:10:40,71.97,102.5,22.66,95,100,5.26
136,Guerrero Negro,MX,2020-04-20 21:10:49,27.98,-114.06,67.75,53,78,18.43
137,Ulladulla,AU,2020-04-20 21:13:54,-35.35,150.47,53.6,81,40,5.82
138,Bogorodskoye,RU,2020-04-20 21:13:54,56.55,37.88,32.32,87,0,6.93
139,Te Anau,NZ,2020-04-20 21:11:32,-45.42,167.72,48.15,72,93,2.55
140,La Asuncion,VE,2020-04-20 21:13:55,11.03,-63.86,82.04,68,81,15.9
141,Geraldton,AU,2020-04-20 21:10:56,-28.77,114.6,53.6,87,1,9.17
142,Saint-Leu,RE,2020-04-20 21:13:55,-21.15,55.28,73.4,69,39,10.29
143,Yerbogachen,RU,2020-04-20 21:13:55,61.28,108.01,23.38,93,3,4.23
144,Muroto,JP,2020-04-20 21:11:20,33.28,134.15,60.42,63,51,8.37
145,Maragogi,BR,2020-04-20 21:12:05,-9.01,-35.22,79.79,84,15,10.29
146,Lorengau,PG,2020-04-20 21:11:01,-2.02,147.27,82.67,74,23,3.0
147,Homer,US,2020-04-20 21:13:56,59.64,-151.55,46.4,75,90,8.05
148,Bodaybo,RU,2020-04-20 21:13:56,57.85,114.19,14.32,86,31,1.05
